id,ime,dolzina,sirina,leto,uporabljenost,cena,lokacija
549482,Bavaria 50 Cruiser,15.43,4.87,2023,New Boat from Stock,396400,Croatia
536074,Princess 52,15.43,4.36,2001,Used Boat,249000,Croatia
543318,Leopard 50,15.42,8.05,2020,Used Boat,850000,Croatia
403537,Bénéteau Oceanis 50 F,15.42,4.82,2011,Used Boat,169000,Croatia
549048,Hanse 505,15.4,4.75,2017,Used Boat,305000,Croatia
548776,Hanse 505,15.4,4.75,2017,Used Boat,285000,Croatia
541167,Bavaria 49,15.4,4.5,2003,Used Boat,110000,Croatia
508012,Pershing 46',15.4,4.14,2008,Used Boat,345000,Croatia
503829,Pershing 46,15.39,4.14,2008,Used Boat,330000,Croatia
549845,Jeanneau Sun Odyssey 519,15.38,4.69,2018,Used Boat,208000,Croatia
545362,Ferretti 500,15.34,4.32,2021,Used Boat,1350000,Croatia
549613,Elan E6,15.3,4.49,2023,New Boat from Stock,573000,Croatia
548300,Cranchi 48,15.3,4.33,2001,Used Boat,215000,Slovenia
530507,Elan E6,15.3,4.49,2022,Used Boat,535000,Croatia
529469,Elan E6,15.3,4.49,2022,Used Boat,550000,Croatia
529468,Elan E6,15.3,4.49,2022,Used Boat,550000,Croatia
518121,Najad 505 CC,15.3,4.6,2009,Used Boat,599427,Croatia
506501,Princess F50 - BJ. 2019,15.3,4.34,2019,Used Boat,1100000,Croatia
520244,Bénéteau Grand Turismo 49,15.29,4.29,2012,Used Boat,490000,Croatia
545922,Dufour Atoll 50,15.25,5.05,2000,Used Boat,159500,Croatia
549782,Jeanneau Prestige 500,15.24,4.5,2018,Used Boat,690000,Croatia
541296,Cranchi Mediterranee 50,15.24,4.33,2005,Used Boat,215000,Croatia
503020,Pershing 50,15.24,4.38,2004,Used Boat,485000,Croatia
545253,Jetten 50 MPC,15.2,4.88,2016,Used Boat,890000,Croatia
542158,Elan GT 6,15.2,4.49,2022,Used Boat,639000,Croatia
539035,Fairline Targa 52,15.2,4.62,2008,Used Boat,360000,Croatia
533943,Prestige Yachts 500 FLY - 2012,15.2,4.47,2012,Used Boat,549000,Croatia
533633,Dufour 520 Grand Large,15.2,4.8,2018,Used Boat,452350,Croatia
509193,Elan 50 Impression,15.2,4.68,2018,Used Boat,270000,Croatia
432653,Carver 504 Fly,15.2,4.7,1998,Used Boat,199000,Croatia
411998,Elan 50 Impression,15.2,4.68,2017,Used Boat,255000,Croatia
549172,Hallberg-Rassy 48,15.14,4.55,2008,Used Boat,500000,Croatia
530599,Elan GT6 - ready for delivery,15.14,4.49,2022,Used Boat,569000,Croatia
549594,Oceanis 50 Family,15.1,4.5,2011,Used Boat,145000,Croatia
543368,FIM Regina 470,15.1,4.4,2023,Display Model,1440000,Croatia
542445,Dufour 500 Grand Large (Engine 2020),15.1,4.8,2015,Used Boat,230000,Croatia
515908,Bénéteau Monte Carlo 5,15.1,4.32,2016,Used Boat,550000,Croatia
377883,Bavaria Sport 450,14.99,4.41,2016,Used Boat,360000,Croatia
526305,Greenline 48 fly,14.99,4.9,2022,New Boat from Stock,890000,Slovenia
510834,Cormorant COR49,14.99,5.4,2023,New boat preordered,600000,Slovenia
507246,Bavaria 51 Cruiser,14.99,4.61,2015,Used Boat,219000,Croatia
550334,Jeanneau Sun Odyssey 49i,14.98,4.49,2008,Used Boat,129000,Croatia
550183,Galeon 485 HTS,14.98,4.25,2019,Used Boat,699000,Croatia
545774,Bénéteau 50,14.98,4.48,2004,Used Boat,157000,Croatia
542448,Jeanneau 51,14.98,4.69,2021,Used Boat,480000,Croatia
537952,Fountaine Pajot Saba 50,14.98,7.99,2017,Used Boat,920000,Croatia
504597,Fountaine Pajot Saba 50,14.98,7.99,2017,Used Boat,920000,Croatia
456927,Comar CLANSHIP 52,14.98,4.81,1989,Used Boat,179900,Croatia
550008,Upwind 50 ECO Aluminium,14.95,7.01,2022,Display Model,870000,Croatia
542864,Doggersbank 1500,14.95,4.7,1994,Used Boat,335000,Croatia
521780,Elling E4,14.95,4.25,2007,Used Boat,359000,Croatia
548688,Bavaria S 45 Open,14.94,4.41,2020,Used Boat,510000,Croatia
510393,Profil Marine Cherokee 50,14.93,4.2,1996,Used Boat,115000,Croatia
502775,Horizon Yaretti 1190,14.92,4.36,1991,Used Boat,120000,Croatia
552367,Sessa C52,14.9,4.5,2008,Used Boat,399000,Croatia
549728,Bruno Abbate Primatist G46,14.9,4.5,2010,Used Boat,290000,Croatia
493401,Bénéteau First 47.7,14.9,4.5,2000,Used Boat,139900,Slovenia
547405,Azimut Fly 48,14.9,4.52,2012,Used Boat,570000,Croatia
545908,Princess V48,14.9,4.1,2009,Used Boat,349000,Croatia
504618,Jeanneau Sun Odyssey 49 DS,14.9,4.41,2007,Used Boat,160000,Croatia
494825,Elan 50 Impression,14.85,4.68,2015,Used Boat,320000,Croatia
471887,Elan Impression 50,14.85,4.68,2017,Used Boat,230000,Croatia
292624,Hanse 495,14.85,4.75,2011,Used Boat,240000,Croatia
491426,Princess V46,14.81,4.01,2003,Used Boat,210000,Croatia
519125,Ferretti 480,14.8,4.6,2001,Used Boat,250000,Croatia
506325,Azimut 46,14.8,4.4,2002,Used Boat,248000,Slovenia
500704,Bénéteau First 47.7,14.8,4.5,2000,Used Boat,135000,Croatia
442672,Ferretti 480,14.8,4.6,2001,Used Boat,259000,Croatia
261062,Edership PRESIDENT 46 Fly,14.8,4.8,1991,Used Boat,120000,Croatia
547774,Lagoon 50,14.76,8.1,2018,Used Boat,835000,Croatia
463342,Selene 45,14.76,4.78,2024,New Boat from Stock,724900,Slovenia
550127,Jeanneau Sun Odyssey 50 DS,14.75,4.49,2012,Used Boat,250000,Croatia
524769,Dufour 48,14.7,8.0,2021,Used Boat,885000,Croatia
