id,ime,kategorija,dolzina,sirina,leto,uporabljenost,cena,lokacija
549245,Atlantis 50,['Motor Yacht'],16.0,4.0,2009,Used Boat,450000,Croatia
542202,Sea Ray Sundancer 460,['Motor Yacht'],16.0,4.35,1999,Used Boat,180000,Croatia
539077,Latini Marine 52,['Regatta Boat'],16.0,4.61,2002,Used Boat,110000,Croatia
532417,Menorquin 160,['Motor Yacht'],16.0,5.0,2008,Used Boat,450000,Croatia
502829,MORE 55,['Sailing Yacht'],16.0,5.0,2019,Used Boat,540000,Croatia
490686,Absolute 52 Fly,"['Flybridge', 'Motor Yacht']",16.0,4.5,2015,Used Boat,755000,Croatia
520243,Absolute 52 STY,['Hardtop'],15.99,4.78,2011,Used Boat,489000,Croatia
536021,Sunbeam 53,['Center Cockpit'],15.98,4.55,2008,Used Boat,449000,Croatia
448475,Murtic 52,['Sailing Yacht'],15.98,4.7,2010,Used Boat,450000,Croatia
550873,Princess V52 - 52,['Motor Yacht'],15.97,4.22,1996,Used Boat,199000,Croatia
348124,Menorquin 160,['Motor Yacht'],15.95,5.0,2006,Used Boat,290000,Croatia
526282,Bénéteau Océanis 51.1,['Sailing Yacht'],15.94,4.8,2018,Used Boat,375000,Croatia
512047,Absolute 52 Fly,"['Flybridge', 'Hardtop', 'Motor Yacht']",15.93,4.51,2020,Used Boat,1125000,Slovenia
548736,Johnson 56,"['Flybridge', 'Motor Yacht']",15.9,5.1,1996,Used Boat,250000,Croatia
530816,Absolute Navetta 52,"['Flybridge', 'Motor Yacht']",15.9,4.65,2023,New Boat from Stock,1656000,Croatia
488526,Galeon 550 FLY - BJ. 2021,"['Flybridge', 'Motor Yacht']",15.85,4.77,2021,Used Boat,1290000,Croatia
544422,Ferretti 500 Elite,"['Flybridge', 'Motor Yacht']",15.83,4.8,2006,Used Boat,320000,Slovenia
511710,CRANCHI E52F Fly Evoluzione,['Motor Yacht'],15.82,4.67,2021,Used Boat,1350000,Croatia
522213,Marte Cigarette 15.80 Meters,['Motor Yacht'],15.8,3.0,1996,Used Boat,350000,Croatia
517077,Altena 52 Exclusief,['Motor Yacht'],15.8,4.5,1998,Used Boat,199000,Slovenia
537561,Jeanneau Sun Odyssey 519,['Sailing Yacht'],15.75,4.69,2016,Used Boat,220000,Croatia
382030,Jeanneau Sun Odyssey 519,['Sailing Yacht'],15.75,4.69,2016,Used Boat,241500,Croatia
542241,Cranchi Atlantique 48,['Cabin Cruiser'],15.72,4.33,2002,Used Boat,319000,Croatia
491374,Cranchi Atlantique 48,"['Flybridge', 'Motor Yacht']",15.72,4.33,2006,Used Boat,259000,Croatia
539521,Princess 49,"['Flybridge', 'Motor Yacht']",15.7,4.3,2017,Used Boat,850000,Croatia
466192,Picchiotti Classic Bermuda Ketch,"['Ketch', 'Sailing Yacht']",15.7,3.4,1931,Used Boat,169000,Croatia
282652,Elan 514 Impression,['Sailing Yacht'],15.69,4.68,2007,Used Boat,220000,Croatia
515867,Sunseeker Manhattan 50,"['Flybridge', 'Motor Yacht']",15.66,4.53,2007,Used Boat,450000,Croatia
548771,Bavaria 51,['Sailing Yacht'],15.6,4.6,1993,Used Boat,85000,Croatia
508555,Princess 500,['Motor Yacht'],15.6,4.38,1993,Used Boat,200000,Croatia
514246,Ferretti 500 Elite,"['Flybridge', 'Motor Yacht']",15.6,4.6,2006,Used Boat,285000,Slovenia
549225,Bavaria 51 Cruiser,['Sailing Yacht'],15.59,4.67,2021,Used Boat,395000,Croatia
